Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.044654	Node12	0	1	LastDelay	0.044404	44404	1	3
0.044654	Node12	0	1	FullDelay	0.044404	44404	1	3
0.053214	Node12	0	2	LastDelay	0.052714	52714	1	3
0.053214	Node12	0	2	FullDelay	0.052714	52714	1	3
0.061774	Node12	0	3	LastDelay	0.061024	61024	1	3
0.061774	Node12	0	3	FullDelay	0.061024	61024	1	3
0.070334	Node12	0	4	LastDelay	0.069334	69334	1	3
0.070334	Node12	0	4	FullDelay	0.069334	69334	1	3
0.078894	Node12	0	5	LastDelay	0.077644	77644	1	3
0.078894	Node12	0	5	FullDelay	0.077644	77644	1	3
0.087454	Node12	0	6	LastDelay	0.085954	85954	1	3
0.087454	Node12	0	6	FullDelay	0.085954	85954	1	3
0.096014	Node12	0	7	LastDelay	0.094264	94264	1	3
0.096014	Node12	0	7	FullDelay	0.094264	94264	1	3
0.104574	Node12	0	8	LastDelay	0.102574	102574	1	3
0.104574	Node12	0	8	FullDelay	0.102574	102574	1	3
0.113134	Node12	0	9	LastDelay	0.110884	110884	1	3
0.113134	Node12	0	9	FullDelay	0.110884	110884	1	3
0.121694	Node12	0	10	LastDelay	0.119194	119194	1	3
0.121694	Node12	0	10	FullDelay	0.119194	119194	1	3
0.130254	Node12	0	11	LastDelay	0.127504	127504	1	3
0.130254	Node12	0	11	FullDelay	0.127504	127504	1	3
0.138814	Node12	0	33	LastDelay	0.130564	130564	1	3
0.138814	Node12	0	33	FullDelay	0.130564	130564	1	3
0.147374	Node12	0	64	LastDelay	0.131374	131374	1	3
0.147374	Node12	0	64	FullDelay	0.131374	131374	1	3
0.155934	Node12	0	96	LastDelay	0.131934	131934	1	3
0.155934	Node12	0	96	FullDelay	0.131934	131934	1	3
0.164494	Node12	0	128	LastDelay	0.132494	132494	1	3
0.164494	Node12	0	128	FullDelay	0.132494	132494	1	3
0.173054	Node12	0	163	LastDelay	0.132304	132304	1	3
0.173054	Node12	0	163	FullDelay	0.132304	132304	1	3
0.181614	Node12	0	196	LastDelay	0.132614	132614	1	3
0.181614	Node12	0	196	FullDelay	0.132614	132614	1	3
0.190174	Node12	0	231	LastDelay	0.132424	132424	1	3
0.190174	Node12	0	231	FullDelay	0.132424	132424	1	3
0.198758	Node12	0	265	LastDelay	0.132508	132508	1	3
0.198758	Node12	0	265	FullDelay	0.132508	132508	1	3
0.207326	Node12	0	299	LastDelay	0.132576	132576	1	3
0.207326	Node12	0	299	FullDelay	0.132576	132576	1	3
0.215894	Node12	0	333	LastDelay	0.132644	132644	1	3
0.215894	Node12	0	333	FullDelay	0.132644	132644	1	3
0.224462	Node12	0	368	LastDelay	0.132462	132462	1	3
0.224462	Node12	0	368	FullDelay	0.132462	132462	1	3
0.23303	Node12	0	401	LastDelay	0.13278	132780	1	3
0.23303	Node12	0	401	FullDelay	0.13278	132780	1	3
0.241598	Node12	0	436	LastDelay	0.132598	132598	1	3
0.241598	Node12	0	436	FullDelay	0.132598	132598	1	3
0.250166	Node12	0	470	LastDelay	0.132666	132666	1	3
0.250166	Node12	0	470	FullDelay	0.132666	132666	1	3
0.258734	Node12	0	504	LastDelay	0.132734	132734	1	3
0.258734	Node12	0	504	FullDelay	0.132734	132734	1	3
0.267302	Node12	0	539	LastDelay	0.132552	132552	1	3
0.267302	Node12	0	539	FullDelay	0.132552	132552	1	3
0.27587	Node12	0	573	LastDelay	0.13262	132620	1	3
0.27587	Node12	0	573	FullDelay	0.13262	132620	1	3
0.284438	Node12	0	607	LastDelay	0.132688	132688	1	3
0.284438	Node12	0	607	FullDelay	0.132688	132688	1	3
0.293006	Node12	0	641	LastDelay	0.132756	132756	1	3
0.293006	Node12	0	641	FullDelay	0.132756	132756	1	3
0.301574	Node12	0	676	LastDelay	0.132574	132574	1	3
0.301574	Node12	0	676	FullDelay	0.132574	132574	1	3
0.310142	Node12	0	709	LastDelay	0.132892	132892	1	3
0.310142	Node12	0	709	FullDelay	0.132892	132892	1	3
0.31871	Node12	0	744	LastDelay	0.13271	132710	1	3
0.31871	Node12	0	744	FullDelay	0.13271	132710	1	3
0.327278	Node12	0	779	LastDelay	0.132528	132528	1	3
0.327278	Node12	0	779	FullDelay	0.132528	132528	1	3
0.335846	Node12	0	812	LastDelay	0.132846	132846	1	3
0.335846	Node12	0	812	FullDelay	0.132846	132846	1	3
0.344414	Node12	0	847	LastDelay	0.132664	132664	1	3
0.344414	Node12	0	847	FullDelay	0.132664	132664	1	3
0.352982	Node12	0	881	LastDelay	0.132732	132732	1	3
0.352982	Node12	0	881	FullDelay	0.132732	132732	1	3
0.36155	Node12	0	915	LastDelay	0.1328	132800	1	3
0.36155	Node12	0	915	FullDelay	0.1328	132800	1	3
0.370118	Node12	0	950	LastDelay	0.132618	132618	1	3
0.370118	Node12	0	950	FullDelay	0.132618	132618	1	3
0.378686	Node12	0	984	LastDelay	0.132686	132686	1	3
0.378686	Node12	0	984	FullDelay	0.132686	132686	1	3
0.387246	Node12	0	29	LastDelay	0.132746	132746	1	3
0.387246	Node12	0	29	FullDelay	0.379996	379996	2	3
0.395806	Node12	0	66	LastDelay	0.132556	132556	1	3
0.395806	Node12	0	66	FullDelay	0.379306	379306	2	3
0.404366	Node12	0	101	LastDelay	0.132616	132616	1	3
