Time	Node	Type	Packets	
0.5	node0	CacheHits	0
0.5	node0	CacheMisses	0
0.5	node1	CacheHits	0
0.5	node1	CacheMisses	0
0.5	node2	CacheHits	0
0.5	node2	CacheMisses	0
0.5	node3	CacheHits	0
0.5	node3	CacheMisses	0
0.5	node4	CacheHits	0
0.5	node4	CacheMisses	0
0.5	node5	CacheHits	0
0.5	node5	CacheMisses	0
0.5	node6	CacheHits	0
0.5	node6	CacheMisses	0
0.5	node7	CacheHits	0
0.5	node7	CacheMisses	0
0.5	node8	CacheHits	0
0.5	node8	CacheMisses	0
0.5	node9	CacheHits	0
0.5	node9	CacheMisses	0
0.5	node10	CacheHits	0
0.5	node10	CacheMisses	0
0.5	node11	CacheHits	0
0.5	node11	CacheMisses	0
0.5	node12	CacheHits	0
0.5	node12	CacheMisses	0
0.5	node13	CacheHits	0
0.5	node13	CacheMisses	0
0.5	node14	CacheHits	0
0.5	node14	CacheMisses	0
0.5	node15	CacheHits	0
0.5	node15	CacheMisses	0
0.5	node16	CacheHits	0
0.5	node16	CacheMisses	0
0.5	node17	CacheHits	0
0.5	node17	CacheMisses	0
0.5	node18	CacheHits	0
0.5	node18	CacheMisses	0
0.5	node19	CacheHits	0
0.5	node19	CacheMisses	0
0.5	node20	CacheHits	0
0.5	node20	CacheMisses	0
0.5	node21	CacheHits	0
0.5	node21	CacheMisses	0
0.5	node22	CacheHits	0
0.5	node22	CacheMisses	0
0.5	node23	CacheHits	0
0.5	node23	CacheMisses	0
0.5	node24	CacheHits	0
0.5	node24	CacheMisses	0
0.5	node25	CacheHits	0
0.5	node25	CacheMisses	0
0.5	node26	CacheHits	0
0.5	node26	CacheMisses	0
0.5	node27	CacheHits	0
0.5	node27	CacheMisses	0
0.5	node28	CacheHits	0
0.5	node28	CacheMisses	0
0.5	node29	CacheHits	0
0.5	node29	CacheMisses	0
0.5	node30	CacheHits	0
0.5	node30	CacheMisses	0
0.5	node31	CacheHits	0
0.5	node31	CacheMisses	0
0.5	node32	CacheHits	0
0.5	node32	CacheMisses	0
0.5	node33	CacheHits	0
0.5	node33	CacheMisses	0
0.5	node34	CacheHits	0
0.5	node34	CacheMisses	0
0.5	node35	CacheHits	0
0.5	node35	CacheMisses	0
0.5	node36	CacheHits	0
0.5	node36	CacheMisses	0
0.5	node37	CacheHits	0
0.5	node37	CacheMisses	0
0.5	node38	CacheHits	0
0.5	node38	CacheMisses	0
0.5	node39	CacheHits	0
0.5	node39	CacheMisses	0
0.5	node40	CacheHits	0
0.5	node40	CacheMisses	0
0.5	node41	CacheHits	0
0.5	node41	CacheMisses	0
0.5	node42	CacheHits	0
0.5	node42	CacheMisses	0
0.5	node43	CacheHits	0
0.5	node43	CacheMisses	0
0.5	node44	CacheHits	0
0.5	node44	CacheMisses	0
0.5	node45	CacheHits	0
0.5	node45	CacheMisses	0
0.5	node46	CacheHits	0
0.5	node46	CacheMisses	0
0.5	node47	CacheHits	0
0.5	node47	CacheMisses	0
0.5	node48	CacheHits	0
0.5	node48	CacheMisses	0
0.5	node49	CacheHits	0
0.5	node49	CacheMisses	0
0.5	c1	CacheHits	0
0.5	c1	CacheMisses	0
0.5	c2	CacheHits	0
0.5	c2	CacheMisses	0
0.5	c3	CacheHits	0
0.5	c3	CacheMisses	0
0.5	c4	CacheHits	0
0.5	c4	CacheMisses	0
0.5	c5	CacheHits	0
0.5	c5	CacheMisses	0
0.5	c6	CacheHits	0
0.5	c6	CacheMisses	0
0.5	c7	CacheHits	0
0.5	c7	CacheMisses	0
0.5	c8	CacheHits	0
0.5	c8	CacheMisses	0
0.5	c9	CacheHits	0
0.5	c9	CacheMisses	0
0.5	c10	CacheHits	0
0.5	c10	CacheMisses	0
0.5	c11	CacheHits	0
0.5	c11	CacheMisses	0
0.5	c12	CacheHits	0
0.5	c12	CacheMisses	0
0.5	c13	CacheHits	0
0.5	c13	CacheMisses	0
0.5	c14	CacheHits	0
0.5	c14	CacheMisses	0
0.5	c15	CacheHits	0
0.5	c15	CacheMisses	0
0.5	c16	CacheHits	0
0.5	c16	CacheMisses	0
0.5	c17	CacheHits	0
0.5	c17	CacheMisses	0
0.5	c18	CacheHits	0
0.5	c18	CacheMisses	0
0.5	c19	CacheHits	0
0.5	c19	CacheMisses	0
0.5	c20	CacheHits	0
0.5	c20	CacheMisses	0
0.5	c21	CacheHits	0
0.5	c21	CacheMisses	0
0.5	c22	CacheHits	0
0.5	c22	CacheMisses	0
0.5	c23	CacheHits	0
0.5	c23	CacheMisses	0
0.5	c24	CacheHits	0
0.5	c24	CacheMisses	0
0.5	c25	CacheHits	0
0.5	c25	CacheMisses	0
0.5	c26	CacheHits	0
0.5	c26	CacheMisses	0
0.5	c27	CacheHits	0
0.5	c27	CacheMisses	0
0.5	c28	CacheHits	0
0.5	c28	CacheMisses	0
0.5	c29	CacheHits	0
0.5	c29	CacheMisses	0
0.5	c30	CacheHits	0
0.5	c30	CacheMisses	0
0.5	c31	CacheHits	0
0.5	c31	CacheMisses	0
0.5	c32	CacheHits	0
0.5	c32	CacheMisses	0
0.5	c33	CacheHits	0
0.5	c33	CacheMisses	0
0.5	c34	CacheHits	0
0.5	c34	CacheMisses	0
0.5	s1	CacheHits	0
0.5	s1	CacheMisses	0
0.5	s2	CacheHits	0
0.5	s2	CacheMisses	0
0.5	s3	CacheHits	0
0.5	s3	CacheMisses	0
0.5	s4	CacheHits	0
0.5	s4	CacheMisses	0
0.5	s5	CacheHits	0
0.5	s5	CacheMisses	0
1	node0	CacheHits	0
1	node0	CacheMisses	0
1	node1	CacheHits	0
1	node1	CacheMisses	0
1	node2	CacheHits	0
1	node2	CacheMisses	0
1	node3	CacheHits	0
1	node3	CacheMisses	0
1	node4	CacheHits	0
1	node4	CacheMisses	0
1	node5	CacheHits	0
1	node5	CacheMisses	0
1	node6	CacheHits	0
1	node6	CacheMisses	0
1	node7	CacheHits	0
1	node7	CacheMisses	0
1	node8	CacheHits	0
1	node8	CacheMisses	0
1	node9	CacheHits	0
1	node9	CacheMisses	0
1	node10	CacheHits	0
1	node10	CacheMisses	0
1	node11	CacheHits	0
1	node11	CacheMisses	0
1	node12	CacheHits	0
1	node12	CacheMisses	0
1	node13	CacheHits	0
1	node13	CacheMisses	0
1	node14	CacheHits	0
1	node14	CacheMisses	0
1	node15	CacheHits	0
1	node15	CacheMisses	0
1	node16	CacheHits	0
1	node16	CacheMisses	0
1	node17	CacheHits	0
1	node17	CacheMisses	0
1	node18	CacheHits	0
